,amount,Type,date,TimeSeries,CommPCA,CommAutoEncoder,InOutFlowAutoEncoder,InOutFlowPCA,Comm
0,1611187.0,1,2017-01-02,1,1,1,1,1,1
1,2085175.0,0,2017-01-03,1,0,0,0,0,0
2,2101443.0,0,2017-01-04,0,0,0,0,0,0
3,2120337.0,0,2017-01-05,0,0,0,0,0,0
4,2314352.0,0,2017-01-06,0,0,0,1,0,0
5,1937634.0,0,2017-01-07,1,0,0,1,1,1
6,1567751.0,0,2017-01-08,0,0,0,1,1,0
7,2045259.0,0,2017-01-09,1,0,0,0,0,0
8,2089019.0,0,2017-01-10,0,0,0,0,0,0
9,2114250.0,0,2017-01-11,0,0,0,0,0,0
10,2138221.0,0,2017-01-12,0,0,0,0,0,0
11,2359014.0,0,2017-01-13,0,0,1,1,0,1
12,1933406.0,0,2017-01-14,0,0,0,1,1,1
13,1657793.0,0,2017-01-15,0,0,0,1,1,1
14,2085096.0,0,2017-01-16,0,0,0,0,0,0
15,2134714.0,0,2017-01-17,0,0,0,1,0,1
16,2154041.0,0,2017-01-18,0,0,0,0,0,0
17,2299776.0,0,2017-01-19,0,0,0,0,0,1
18,2366326.0,0,2017-01-20,0,0,0,1,0,1
19,2012182.0,0,2017-01-21,0,0,0,1,1,1
20,1829816.0,0,2017-01-22,0,1,1,1,1,1
21,2201983.0,0,2017-01-23,0,0,0,0,0,0
22,2237516.0,0,2017-01-24,0,0,0,0,0,0
23,2170093.0,0,2017-01-25,0,0,0,1,1,0
24,1900406.0,0,2017-01-26,1,1,1,1,1,1
25,790631.0,1,2017-01-27,1,1,1,1,1,1
26,1365770.0,1,2017-01-28,0,1,1,1,1,1
27,1404587.0,1,2017-01-29,0,1,1,1,1,1
28,1455450.0,1,2017-01-30,1,1,1,1,1,1
29,1609064.0,1,2017-01-31,1,1,1,1,1,1
30,1563403.0,1,2017-02-01,0,1,1,1,1,0
31,1988661.0,0,2017-02-02,1,1,1,1,1,1
32,2158018.0,0,2017-02-03,1,1,0,1,1,0
33,1989778.0,0,2017-02-04,0,1,1,1,1,1
34,1708957.0,0,2017-02-05,0,1,1,1,1,1
35,2143009.0,0,2017-02-06,1,1,0,1,0,0
36,2200629.0,0,2017-02-07,0,1,0,1,0,0
37,2242697.0,0,2017-02-08,0,1,0,0,0,0
38,2177183.0,0,2017-02-09,0,0,0,0,0,0
39,2357280.0,0,2017-02-10,0,1,1,0,0,1
40,2097391.0,0,2017-02-11,0,1,1,1,1,1
41,1825764.0,0,2017-02-12,0,1,1,1,1,1
42,2100706.0,0,2017-02-13,0,0,0,0,0,0
43,2164786.0,0,2017-02-14,0,0,0,0,0,0
44,2131304.0,0,2017-02-15,0,0,0,0,0,0
45,2139756.0,0,2017-02-16,0,0,0,0,0,0
46,2266985.0,0,2017-02-17,0,0,0,1,0,0
47,2226445.0,0,2017-02-18,0,1,0,1,1,1
48,1858209.0,0,2017-02-19,0,0,0,1,1,1
49,2125719.0,0,2017-02-20,0,0,0,0,0,0
50,2150944.0,0,2017-02-21,0,0,0,0,0,0
51,2139167.0,0,2017-02-22,0,0,0,0,0,0
52,2152590.0,0,2017-02-23,0,0,0,0,0,0
53,2343907.0,0,2017-02-24,0,0,0,0,0,0
54,1805330.0,1,2017-02-25,1,1,1,1,1,1
55,1719565.0,1,2017-02-26,0,1,1,1,1,1
56,1850801.0,0,2017-02-27,0,1,0,1,1,1
57,1614518.0,1,2017-02-28,1,1,1,1,1,0
58,2088270.0,0,2017-03-01,1,0,0,0,0,0
59,2082746.0,0,2017-03-02,0,0,0,0,0,0
60,2286334.0,0,2017-03-03,0,0,0,0,0,0
61,2009657.0,0,2017-03-04,0,0,1,1,1,1
62,1767325.0,0,2017-03-05,0,1,1,0,1,1
63,2100113.0,0,2017-03-06,0,0,0,0,0,0
64,2148167.0,0,2017-03-07,0,0,0,0,0,0
65,2201558.0,0,2017-03-08,0,0,0,0,0,0
66,2196081.0,0,2017-03-09,0,0,0,0,0,0
67,2398192.0,0,2017-03-10,0,0,0,0,0,0
68,2098085.0,0,2017-03-11,0,0,0,1,0,1
69,1829018.0,0,2017-03-12,0,0,1,0,0,1
70,2128030.0,0,2017-03-13,0,0,0,0,0,0
71,2166513.0,0,2017-03-14,0,0,0,0,0,0
72,2173542.0,0,2017-03-15,0,0,0,0,0,0
73,2210527.0,0,2017-03-16,0,0,0,0,0,0
74,2394927.0,0,2017-03-17,0,0,0,0,0,0
75,2115615.0,0,2017-03-18,0,1,1,1,1,1
76,1718679.0,0,2017-03-19,1,0,0,1,1,0
77,2080411.0,0,2017-03-20,0,0,0,0,0,0
78,2128111.0,0,2017-03-21,0,0,0,0,0,0
79,2180167.0,0,2017-03-22,0,0,0,0,0,0
